"AUC","Sensitivity","Specificity","Accuracy","data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET"
0.625541566632882,0.0160320641282565,0.997544128933231,0.867163583122588,"8","ranger","none","LASSO","MEDIAN","DROP","LABEL","5","year1"
0.606970016959457,0.0121212121212121,0.997676874340021,0.87710843373494,"11","ranger","none","LASSO","DROP","MODE","HARD","5","year1"
0.596992722626156,0.00561009817671809,0.999804992199688,0.878445471665811,"12","ranger","none","LASSO","DROP","DROP","HARD","5","year1"
0.628128518879964,0.0154220779220779,0.99820166987797,0.863923699678385,"15","ranger","none","LASSO","MEDIAN","MODE","HARD","5","year1"
0.621612295965684,0.0210420841683367,0.997697620874904,0.867962198855317,"16","ranger","none","LASSO","MEDIAN","DROP","HARD","5","year1"
0.560375027999105,0.256060606060606,0.816684266103485,0.748100092678406,"3","ranger","smote","FFS","DROP","MODE","LABEL","5","year1"
0.560937202565241,0.279102384291725,0.792706708268331,0.730011984249272,"4","ranger","smote","FFS","DROP","DROP","LABEL","5","year1"
0.550605455880022,0.238636363636364,0.80834938985228,0.730509038482866,"7","ranger","smote","FFS","MEDIAN","MODE","LABEL","5","year1"
0.605917975628923,0.25250501002004,0.858173445894091,0.777718621056835,"8","ranger","smote","FFS","MEDIAN","DROP","LABEL","5","year1"
0.561919458577326,0.254545454545455,0.82090813093981,0.7516218721038,"11","ranger","smote","FFS","DROP","MODE","HARD","5","year1"
0.530182038277323,0.253856942496494,0.762675507020281,0.700564971751412,"12","ranger","smote","FFS","DROP","DROP","HARD","5","year1"
0.546061878070549,0.243506493506494,0.799743095696853,0.723744039037374,"15","ranger","smote","FFS","MEDIAN","MODE","HARD","5","year1"
0.585085827833719,0.234468937875752,0.872448196469685,0.787701317715959,"16","ranger","smote","FFS","MEDIAN","DROP","HARD","5","year1"
0.602230328629484,0.0772727272727273,0.958394931362196,0.850602409638554,"3","ranger","smote","LASSO","DROP","MODE","LABEL","5","year1"
0.582830452068013,0.100981767180926,0.925507020280811,0.824858757062147,"4","ranger","smote","LASSO","DROP","DROP","LABEL","5","year1"
0.627409885393989,0.112824675324675,0.957996146435453,0.84251968503937,"7","ranger","smote","LASSO","MEDIAN","MODE","LABEL","5","year1"
0.631351882583279,0.112224448897796,0.959324635456638,0.846798881937974,"8","ranger","smote","LASSO","MEDIAN","DROP","LABEL","5","year1"
0.584226424754408,0.206060606060606,0.857866948257656,0.778127896200185,"11","ranger","smote","LASSO","DROP","MODE","HARD","5","year1"
0.560940074349117,0.136044880785414,0.888650546021841,0.796781373052559,"12","ranger","smote","LASSO","DROP","DROP","HARD","5","year1"
0.61772994186289,0.130681818181818,0.950160565189467,0.838194521459465,"15","ranger","smote","LASSO","MEDIAN","MODE","HARD","5","year1"
0.605033013071423,0.128256513026052,0.934765924788949,0.827632104352456,"16","ranger","smote","LASSO","MEDIAN","DROP","HARD","5","year1"
